1;Meinewelt;Jl. C. Bangas Induk;https://maps.app.goo.gl/FFUbh5aWyAt7hykCA;-2.221727910824094;113.91766918294200;Indoor & Outdoor;Toilet, AC & Live Music;16.000 - 42.000;15.000 - 26.000;4.6
2;Valv Hangry;Jl. RTA Milono;https://maps.app.goo.gl/2ZAe45SrXV4dWXju8;-2.220372344499449;113.92003598294242;Indoor & Outdoor;Toilet, AC & Live Music;18.000 - 50.000;19.000 - 28.000;4.6
3;Dr. Coffee and Tea House;Jl. Christopel Mihing No. 48A;https://maps.app.goo.gl/ZX1KGdzdjRNXv86t5;-2.2208562445586533;113.92743545225507;Indoor;Toilet, AC & Free Wi-Fi;25.000 - 60.000;28.000 - 50.000;4.6
4;Kala Rindu Koffie and Eatery;Jl. Diponegoro No. 12;https://maps.app.goo.gl/a9eaoKAfu7Y75MXC7;-2.2148530189103246;113.92408159273185;Indoor & Outdoor;Toilet & AC;26.000 - 36.000;18.000 - 30.000;4.6
5;Tepat Waktu Kopi;Jl. Keruing No. 11;https://maps.app.goo.gl/3xCq6bUHRA187iap9;-2.219562769113311;113.9359828522552;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;22.000 - 37.000;20.000 - 33.000;4.6
6;Nanika Coffee and Social;Jl. G. Obos No. 47A;https://maps.app.goo.gl/oPcjqqnAoVCrVpLF7;-2.2202997613716127;113.9097318522551;Indoor & Outdoor;Toilet, AC, Free Wi-Fi & Bar;16.000 - 32.000;15.000 - 23.000;4.6
7;Night Waltz;Jl. RTA Milono Km 3;https://maps.app.goo.gl/ores6FoiEVzHttX16;-2.2341906743575684;113.92081290304812;Indoor & Outdoor;Toilet, AC & Live Music;16.000 - 45.000;20.000 - 32.000;4.4
8;Vertiga Coffee;Jl. Aries No. 2;https://maps.app.goo.gl/BPqYbhwfJCLPKwFP7;-2.2206187653072202;113.89991869405111;Indoor & Outdoor;Toilet, AC, & Free Wi-Fi;28.000 - 31.000;7.000 - 33.000;4.8
9;About Something Coffee;Jl. Cut Nyak Dien;https://maps.app.goo.gl/1KJRay97SbfjyBa66;-2.2147013229861834;113.91112104616859;Indoor & Outdoor;Toilet & AC;18.000 - 43.000;16.000 - 23.000;4.6
10;Toko Kopi Bumi;Jl. Kutilang No. 57;https://maps.app.goo.gl/zLwbrrzzqVKBNpKy7;-2.200624658407136;113.89895125357441;Indoor & Outdoor;Toilet, AC, & Free Wi-Fi;18.000 - 95.000;10.000 - 33.000;4.7
11;Kopi Cucu;Jl. Krakatau No. 545D;https://maps.app.goo.gl/HrQE67HB9zBJ7D8p8;-2.2072950011566723;113.90839736023966;Indoor & Outdoor;Toilet & AC;20.000 - 30.000;8.000 - 23.000;4.5
12;1960 Speialty Coffee;Jl. Sutanegara No. 02A;https://maps.app.goo.gl/6cJGzt4zejPsNsV86;-2.208324909964548;113.92055858187813;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;22.000 - 64.000;22.000 - 42.000;4.6
13;Fore Coffee;Jl. Diponegoro;https://maps.app.goo.gl/oAM6w2JcmKeqXsf48;-2.2149495438369042;113.92471798849665;Indoor & Outdoor;Toilet & AC;24.000 - 42.000;24.000 - 39.000;4.5
14;Tentang Kopi;Jl. Sisingamangaraja No. 3;https://maps.app.goo.gl/YW6soDQtSyf9qmHQ6;-2.219720165203826;113.91025691494922;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;10.000 - 37.000;16.000 - 26.000;4.5
15;Harra;Jl. Sisingamangaraja;https://maps.app.goo.gl/v7hBQpf89wnKetjy8;-2.2206584653117867;113.91099160569195;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;20.000 - 35.000;18.000 - 33.000;4.8
16;Mustep Coffee;Jl. Rajawali V;https://maps.app.goo.gl/MBqCoW57iwNE5BGt6;-2.1895256777478913;113.89085938664500;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;12.000 - 45.000;25.000 - 40.000;4.7
17;Samudera Koffie;Jl. Pangeran Samudera III;https://maps.app.goo.gl/UCnvsHkrD1cxaX7Z9;-2.2194928691078033;113.90321520198908;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;25.000 - 45.000;7.000 - 28.000;4.6
18;Jalur Putih;Jl. Sisingamangaraja No.48;https://maps.app.goo.gl/mztxkNm5BpRBpZfD9;-2.225948807399413;113.91399409775399;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;15.000 - 28.000;5.000 - 25.000;4.8
19;Volte;Jl. Raden Saleh 1 No. 9;https://maps.app.goo.gl/bQYWpbX68KxyfGvD9;-2.2209711276734305;113.91221079034833;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;15.000 - 44.000;15.000 - 30.000;5.0
20;Taguk Ha;Jl. Yos Sudarso No. 46;https://maps.app.goo.gl/5NkZevVHibSfTGJf9;-2.2229490693802343;113.88959293214428;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;10.000 - 33.000;18.000 - 25.000;4.5
21;Mahardika Coffee and Eatery;Jl. Semeru No. 82B;https://maps.app.goo.gl/93xeRwgqqaiJ9Jy36;-2.207209905518215;113.90557942580269;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;30.000 - 230.000;8.000 - 55.000;4.4
22;Arusta Coffee;Jl. Cakra Buana No. 19;https://maps.app.goo.gl/Wo3cuNKDg9K1LUCa7;-2.205044684411487;113.90695713267637;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;25.000 - 70.000;25.000 - 40.000;4.6
23;Kioto;Jl. Tangkasiang No. 48;https://maps.app.goo.gl/Bc6hJMn4MhQ2K9TT7;-2.194373383271729;113.9009600596608;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;20.000 - 60.000;20.000 - 33.000;4.6
24;Utama Café & Roastery;Jl. Lambung Mangkurat;https://maps.app.goo.gl/9pHrygimSZbBqqAYA;-2.213379706135827;113.91117661420826;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;13.000 - 50.000;11.000 - 28.000;4.7
25;Yomi Café;Jl. Sisingamangaraja;https://maps.app.goo.gl/gCEeMnREd1NY2KFN7;-2.2173116273321654;113.90868916891803;Indoor;Toilet, AC & Free Wi-Fi;10.000 - 18.000;8.000 - 10.000;4.5
