ulasan;label
Tempat nongkrong yg pas buat yg ga suka kebisingan kendaraan;positive
"""Tempat Nongkrong Nanika adalah surga bagi para pecinta kuliner dan penggemar kopi. Lokasinya yang strategis di pinggir jalan membuat tempat ini mudah diakses dari mana saja. Suasana nyaman dan santai membuat saya betah berlama-lama di sini.""";positive
Baik untuk menginap;positive
Terbaikk dehh, rekomen buat nongrong dan ngemil di sini apalagi bareng temen dan kluargaa, yang paling enak di kopinya;positive
good place to sit and relaxing. nearby hospitals and also provide spacious parking line. has live music shows at weekends times;positive
Mantap kopisyop ada cuci mobil jadi santai nunggu mobil dicuci;positive
Coffee shop terlengkap yg ada di PKY, dengan menu makanannya banyak dan bervariasi, serta snack nya yg lengkap, apalagi makanan minumannya enak semuaaaaa🥹🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻ga rugi bawa keluarga kumpul di tempat ini, apalagi pelayanan baristanya, …;positive
Tempatnya sederhana namun terasa hangat saat berkumpul;positive
Tempat asik;positive
Kalau kata nex carlos “ga ada obat!!”;positive
Bagus, menu banyak pilihan 👍👍👍 …;positive
Wadah Sekte untuk anak anak terpilih ke dunia digital;positive
Salah satu tempat ngopi favorit di kota ini. Selain dekat dengan tempat tinggal, owner nya ramah banget.;positive
"Sebagai penyuka es kopi susu, di Palangkaraya pengen dong nyobain juga.
Akhirnya pesan es kopi susu di sini via GoFood. Pas diminum, es kopi susunya terasa banget memakai kental manis, bukan susu UHT/pasteurisasi/susu murni. …";positive
Cobain deh seru;positive
Gak ada WiFi nya, cafe apaan..;negative
Comfort coffe shop;positive
Salah satu minuman terbaik nya mulakophi..,;positive
Rekomen jika ke Palangkaraya;positive
harga diri kualitas tidak sesuai, cuci 5 mobil kaget hampir 500rb;negative
Pembuatan V60 Japanese sesuai dengan ekspektasi. Makanan jg enak. Recomended coffee shop;positive
okk trmpatnya;positive
Enak buat nongkrong;positive
Nice place for ngopi, so large, comfortable for a lot of people👍 …;positive
"Tempatnya cozy,minumannya juga oke..sering penuh,jadi sedih banget kalo gak kebagian tempat ☹️
Kata temen2 bukanya 24 jam,tp belum sempet nanya sma pegawainya bener atau gak..kalo bener sih mantap lah,jadi bisa order kopi pas lagi lembur 👍";neutral
Cantik dan keren;positive
Nyaman untuk nongkrong anak muda, tp krg recomended untuk kluarga atau anak2;positive
Buat warga Palangkaraya ataupun teman-teman yang akan berkunjung ke Palangkaraya wajib banget cobain Toko Kopi dan Bakmie Santai , Bakmie nyaaa enak polll , varian original aja enak bangettt, buat yang mau nyobain varian lain wajib banget …;positive
Overall, services, food and beverages are excellent yet sorry to say, tempatnya agak gerah yaa di dalam. Meski dibantu AC dan kipas di berbagai titik, rasanya masih kurang cukup untuk memberi kesan nyaman.;negative
