pool_idx;ulasan;label
2077;"Tempatnya cukup bagus ..ada tenda ada pondokanx..nuansa alam terbuka...cocok utk bersama keluarga maupun teman2..tp musik livenya mungkin terlalu kencang
Datang keduakalinya pesanan makanan tdk datang2 sampai 1jam an ..saya pikir karna terlalu ramai mlm minggu..eh pas pesanan dtg bilangnya catatan psanannya ga keliatan..";negative
2577;"Pelayanannya bagus harganya oke minuman dan makanannya juga enak
Tp untuk suasanya agak kurang karena di dalam sedikit gelap dan kelihatan kurang bersih";neutral
592;"Minuman cepat disajikan, makanan nya lama sekali..
Indoor nya ruangan ac tp tetap panas padahal ac nya ada 3";negative
2574;"Vibes nya outdoor dan indoor...
Outdoornya enak kalau malam, bisa adem..kalau siang dikasih fan
Kopinya 👍 …";positive
2405;"Mantaaab kopinya
Sambil bawa anak, sambil ngobrol
Ramah2 semuanya
Apalagi sama anak2";positive
2723;Segerr kopinya;positive
1163;Kopinya enaaak;positive
2977;Kopinya 👍👍👍👍👍 …;positive
26;kopinya muantepp;positive
2980;Kopinya kuat;positive
2865;Kopinya murmer 😆 …;positive
27;"Kopinya yaàaaa....lumayanlah
Tempatnya jg lumayan";positive
2932;"Kesan pertama dtg kesitu tempatnya ok banget👍
Minuman standard aja
Harga standard …";positive
1594;"Tempatnya nyaman
Free wifi
Harga standard";positive
464;minuman rasa talasnya sempurna. tidak manis/hambar.;positive
310;Buka 24 jam bisa buat nugas;positive
491;"Tempat bertemakan jepang, space luas.
Varian menu cukup banyak, makanan berat juga banyak. Rasa Minuman & makanan standar. Kurang pas buat yg mau sambil kerja lama bawa laptop krn colokan susah.";negative
1280;"Tempatnya lumayan, yg menurutku gak fair itu, gak ada harganya di menu.
Ini jadi nilai minus sekali.
Terkesan menutupi harga.";negative
