pool_idx;ulasan;label
1614;Pelayanan disini enak, cuma wifi sering penuh, suara penyanyi juga mantap, sangat nyaman untuk dinikmati, jam buka saat malam minggu sampai larut jadi cocok untuk menghabiskan malam bersama rekan;positive
3025;Makannannya enakk, menunya juga banyak, jadi ga pusing mau makan apa:));positive
2227;"Menunya enak.
Sayangnya pesanan harus ambil sendiri.";neutral
1699;Tidak apa-apa;neutral
3055;makanan sedikit hambar, rasa lemon tea nya pas tidak terlalu kecut, tempat lumayan nyaman, tidak terlalu ramai.;neutral
1272;Toast nya mantul👍, waktu itu pesen yang tuna mayo enaakkk …;positive
7;Ayam katsunya;neutral
1411;"Tempatnya lumayan, yg menurutku gak fair itu, gak ada harganya di menu.
Ini jadi nilai minus sekali.
Terkesan menutupi harga.";negative
1727;Signature Kopi : Creamy Aren Latte. 4.5/5 Creamynya pas. Gak ada bitter after taste sih. Layaknya kopi susu gula aren pada umumnya. …;positive
123;Tadi jam 6 sore kesini dimintain 150rb karna katanya harga malam dan mobil kotor (pdhl tujuan cuci mobil karna mobilny kotor ga sih? Klo bersih ngapainn ke pencucian mobil??) dan pas nyuci aku perhatikan itu nyuci disiram2 trs nyabunin asal lewat doang. Padahal udh banyak yg review sama lohh;negative
253;Makanan & minuman oke rasanya jg banyak pilihannya, cmn sygnya kurang nyaman buat bawa baby krn ga ada kursi duduk baby kayak di restoran/cafe lain.. Jadi agak susah kalo mau naruh baby nya & harus bawa stroller sendiri.. Selama ini sih …;neutral
1432;Dibelakang tamannya nya lebih terang, adem banyak kipas sama colokan 👌👌👌 …;positive
2774;pelayanan sangat tidak ramah malah ngatain pengunjung, bukan cuman satu ngatain rame rame lagi hampir seluruh pelayan nya,kalau memang tidak suka bisa di omongin langsung secara baik baik;negative
290;"""Makanan sama minuman masih banyak, main dibuang buang aja, baru ditinggal bentar ke toilet, payah, lain kali bikin papan tulisannya """"JANGAN DIBUANG MASIH DIMAKAN""""""";negative
1937;"Petunia menjadi hadiah kecil untuk pecinta makanan manis seperti saya.. …""";positive
3286;Americano cocok di lidah saya. Proses take away pun cepat. Bisa bayar pake QRIS. Mungkin next time coba dine in.;positive
154;Pertama kali coba nyuci mobil disini, emang udah dibilangin untuk uang receh di bawa, cuma saya sengaja hanya di pindah aja masukin box di mobil, eeh ilang seuang logam 1000an :) …;negative
527;Suka kopi sundulnya, tapi minta yang kurang manis atau double shoot.;positive
2336;makanan enak, ambience nya juga oke, tapi buat servicenya kurang banget ya. udah berapa kali makan disini tp keknya ga ada perubahan di pelayanannya. kasirnya pelayanan kurang ramah, pesen minum dan makan, makannya doang yg dianter, …;negative
673;Oke, sudah beberapa kali kesini;positive
1223;Recomended makanannya enak. outdoornya nyaman. kurangnya AC indoor masih kurang dingin, jadi terasa pengap.;positive
3142;"""Soal rasa udah oke gak kalah sama trusted brand lainnya. Ga perlu ragu lagi. Passs 🤗";positive
2391;"They forgot to made our order, bad services.. not recomended""";negative
934;Murah cuma tempat makan kurang nyaman;neutral
2893;Tidak sangat rekomendasi;negative
74;Siang jam 11.20, Nyobain karena ada iklannya di Ig, pesan special chicken steak, ayam kentang, telur dan saosnya Alhamdulillah bisa dinikmati, sayuran bekunya sayangnya basi, pas lagi nunggu makanan datang ternyata cafeenya punya pet dogy yang lagi santai di outdoor dan suasana indoornya kurang sejuk (lumayan agak meleleh keringat);negative
2489;Aku mesan makanan take away jam 11.35 WIB dan kasirnya bilang nanti diantar pesanannya ke tempat duduk (pov : aku duduknya dekat pintu diluar dan dekat dgn kasir) dan sampe 1 jam 15 menit pesanan aku belum diantar juga …;negative
2881;Minimalis tapi kupinya nendang;positive
1728;"""Pelayanannya lumayan lambat";negative
1029;"Cafe nya tambah nyaman""";positive
1499;pelayan nya kurang ramah senyum,tapi gapapa,karna makanan nya enak tempat nya aesthetic, bisa buat nongkrong,nugas dll;positive
1617;Tempatnya oke, tapi untuk minumannya b aja. Murah sih, jadi sesuai aja.;neutral
2353;Cafe andalan setiap makan siang ❤️;positive
