pool_idx;ulasan;label
931;Bagus... tapi saya lebih suka ngopi pakai cangkir..;neutral
2617;Untuk komfirmasi orderan online terlalu lama menunggu🙏🏻 …;negative
836;Sedap sedap nikmat. Makanan atau minuman yang dipesan cepet banget datengnya. Oiya... Kalau datang mending sorean aja yaa. Kebetulan saya datangnya pas siang, jadi rasanya kaya lagi di saunaaaa~~~~~;positive
2143;Bau pup kucing;negative
908;Lumayan, pelayan kurang melayani karena pesanan tidak diantar, tapi diambil di tempat pemesanan;negative
16;Cukup baik;positive
382;Sebenar nya saya belum pernah kesini tapi karena saya pecinta kopi jadi saya kasih bintang lima;neutral
2771;masukan, untuk karyawan kitchen nya. makanan yg saya beli tadi nasi nya masih mentah dan masih di serving.;negative
2788;Tolong lebih detail lagi ya dalam menghidangkan makanan, saya pesannya ayam teriyaki untuk take away tapi malah dikasihnya salted egg, karna take away jadi saya juga kurang melihat makanan yang dikasih, di receipt yang diberikan juga …;negative
1769;Lumayan sering nongki disni, dekat dengan sekolah anak. makanan dan minuman lumayan enak, harga bersahabat;positive
2744;Cafe nya bagus cuma cucian nya lama antri;negative
1030;Kalau kata nex carlos “ga ada obat!!”;positive
3063;lamaaaa bngettt nunggu makanan nya;negative
1156;Dari order ( dine in ) sampe ready minumannya 1 jam 😭 , gojek & grab datang silih berganti & antriannya bareng dgn yg dine in , jujur 1 jam lama banget apalagi klo cuma pengen sekedar nongki & ngopi yg gak berlama2 🙏 , semoga bisa ditingkatkan pelayanannya biar bisa lebih cepet gak sejam …;negative
2891;Tadi jam 8 pagi kesana. Ternyata masih prepare :(;neutral
1775;Pesan makanan sama roti, makanan udh habis roti belum datang;negative
2435;"Pesen makanan nasi goreng estimasi 1 jam baru duduk sudah di sajikan tetapi pesanan nasi gorengnya dingin seperti bekas pesanan orang yang ga jadi di anterkan ke saya , dan toping"" seperti bawangnya udah pada kurang seger";negative
1150;Lama bgtt antrinya, mungkin byk orderan kali ya;neutral
659;hingga saat saya update review hari ini (6/8/2023), coffeeshop ini menjadi salah satu yang buka 24 jam.. jadi saat anda tiba-tiba ingin ngopi setelah tahajud atau ba'da shalat subuh, bisa jadi opsi;positive
2675;Apotik tutup ga ada obat;neutral
2590;Pelayan/baristanya ada beberapa yang kurang ramah dan memasang wajah tidak suka kalau ditanya mengenai pesanan. Mesan makanan lebih dari 1 jam baru datang, sampai 2x bertanya ke kasir, dan kasir/baristanya jawabnya judes. Untuk org2 yg bekerja dgn jam istirahat terbatas tentu jadi hal yg tidak menyenangkan. Semoga owner baca.;negative
1454;Tempatnya lumayan, yg menurutku gak fair itu, gak ada harganya di menu. Ini jadi nilai minus sekali. Terkesan menutupi harga.;negative
1649;bingung, masih pada muda, seperti terpelajar. tapi sama sekali tidak ramah. sya datang dgn sopan menanyakan pw wifi, disuruh tunggu smpai 3 kali bertanya. sekali jawab. ngegas dan bilang wifi penuh. yaa kalo pasang wifi gratis, jgn cuman 1 atau 2. jgn smpai ada limitnya lah;negative
678;Pelayanan nya lama banget terus mbaknya judes, masa makanannya dilempar;negative
1538;Makanan agak kurang, rasa kopinya standar. Harga jg standar. Pelayanan oke sih tp. Cm mungkin krn ini cafe hitz ya jd ramai beut, agak ga cocok utk yg ga gitu suka suasana ramai.;negative
2676;saya kasih bintang dua ribu;positive
2594;Makanan minumannya gaada masalah enak enak aja, tapi tolong dievaluasi pelayanannya. Saya liat ada review serupa di bawah sekian bulan yg lalu tapi masih aja pelayanannya kurang mengenakan. Inputnya lambat, sambil ngobrol dan sibuk sendiri, …;negative
3332;Makanan nya enak. Tapi sayang bartender nya yg dibagian kasir ketus dan kurang sopan. Kami makan bayar gak minta minta.;negative
1924;Lampu di luar kurang terang;neutral
1111;Alangkah lebih baiknya sediakan kursi untuk OJEK ONLINE nunggu di dalam, karena kalo kita nunggu diluar ketika orderan selesai tidak di antarkan dan dikasih tau. …;neutral
159;cuci mobil disini sudah dipesenin jangan dibuang minuman di dalam mobil malah dibuang,gak ngaku lagi kalau gak ditanya.;negative
2984;Untuk minumannya lumayan enak, harga standar, tapi untuk pelayanannya bisa diperbaiki. Karena kemaren pesen kopi aja buat 3 orang lebih setengah jam menunggu, ternyata setelah dikonfirmasi pesanannya sudah dibuat tapi ga diantar (terjadi …;negative
2238;24 jam ! kalo di usir dari rumah bisa disini 🐷🗿✨ …;neutral
2682;Wonderful experience;positive
1828;"Pesan makanan 1 jam gk diantar-antar , ditanya ke kasir katanya ""Lupa""";negative
2308;Kurang penjelasan menu paket puasa. Dimenu banyak pas datang cuman 1 menu;negative
2395;20/02/25 , pesen roti Bakar Tiramisu sama Soto Betawi , Roti nya rasa Beef Burger , asin , bneran rasa Patty burger di kasih tiramisu , Soto Betawi kuah enak sayur oke , Daging nya ga matengg , alot , prengus daging sapi , emping ga matang …;negative
129;Sebenarnya lumayan karna bisa nunggu sambil ngopi di cafe. Sayang hadil nyuci motor ngga ada bedanya, ngga ada bersih bersihnya. Mengecewakan. Foto hasil saya lap sendiri juga. Krn darisana memang Ngga di lap kering, jadi kalau langsung dibawa jalan debu bakal nempel semua.;negative
2365;"makanan datengnya lambat, barista nya juga kurang ramah, harusnya basa basi lah minta maaf atas keterlambatan. tapi gak ada bilang apa"", muka nya jutek 😅 …";negative
2764;Tadi malam ke cafe tersebut untuk menonton standupcomedy, skalian makan main course dan minum , saya pesan bersama pacar chicken katsu teriyaki blackpapper dan sambal matah, lyche tea. Sudah bayar dong dan dikasih nomor meja. Nunggu 1jam ga …;neutral
162;Harga suka suka, hati2 yg mau cuci dsni;negative
2597;Saya tidak akan komplain ttg makanan, namun soal pelayanannya. Kami datang berempat. Pesan 4 main course, 3 snack, 1 dessert, 6 minuman (sudah dobel check kalau masih ada). …;neutral
685;Minumannya enak dan menu NW Noodlesnya bisa request sesuai keinginan saya waktu itu. Saya ga nyangka cafe se-fancy ini bisa buka 24 jam. Di kota lain belum tentu ada yang kayak begini. …;positive
557;Hmmm lumayan enak minumannya. Pelayanan lumayan agak lama dikit. Agak gerah walau udah di AC. Banyak kok colokannya …;neutral
2159;Pesen didepan, ambil sendiri setelah dipanggil lewat speaker, selain cash bisa transfer, belum ada pembayaran Qris …;neutral
848;Kami datang jam 09.00 belum buka. Padahal di jadwalnya jam 09.00 cabang hq atau cut nyak dien sudah buka Menunggu hingga 09.10 masih blm buka. …;negative
2271;Datang jam 4 sore sbg pelanggan no 2. Pesan 3 menu: blackpaper, kentang keju dan indomie khas mereka dan 2 minuman. …;neutral
2468;Cafe yang selalu aku kunjungi (lagi dan lagi), suasananya ok, klo mau berdua sama suami ya bisa di luar, klo bawa anak2 ya duduk di dalam,,,,, makanannya cocok 👍 lbh suka camilannya sih di sini, dan andalan aku tuh minumannya_hazelnut 🤩 ga prnh ketinggalan ambil ini tiap kali datang 😙 + selalu selfie di cerminnya 🤭 …;positive
1005;Selalu ramai;neutral
2740;Risolnya enak, ga pelit sayur dan isiannya ga kering, jadi masih berasa sayurannya.;positive
2362;Makanan & minuman lumayan enak, cuman tolong kursi di indoor jgn terlalu mepet;neutral
2786;Ok aja makanan nya tapi lama banget selesai buatnya sampai sejam pula;negative
