Ulasan;Label
Great Coffee and Roastery;positive
Tempat yang nyaman untuk bersantai;positive
Biasa aja, lama antar makananya, tdk di sebutkan estimasi waktunya juga.;neutral
Kopi nya enak, makanan juga enak.;positive
Caramelnya mantab👍👍 …;positive
Kecewa karena jauh 80km mau coba 2 menu dinsum nya ga dikasih dg alasan dibatasi😑 Kalo mau coba kan wajar, bukan borong …;negative
"""Himalaya"" must try,,
Pastry recommended,,";positive
tempatnyaa enakk! suasana rumah nenek bgt, makanan sama minumannya juga mantul, comfy bgt deh buat ngumpul² nongkrong sama temen🌷 …;positive
Nyaman;positive
Iseng nyoba pesen makan, niatnya pesen katsu tapi kosong, ganti ke ayam bakar taliwangnya ternyata enak banget, porsinya juga bikin kenyang. Pelayanannya ramah, ruangannya nyaman enak buat sendiri maupun rame-rame. Lumayan harus sabar, …;positive
"Coffenya sangat enak dan pelayanannya juga bagus
Tempatnya cocok buat yang mau nongkrong lama krna nyaman dan bersih";positive
Mantap tampat nya,,,nyaman suasana dan pelayanan ya;positive
Segah bilang kasih bintang 5;neutral
Tempatnya adem kalau siang siang bolong, dan cafe pertama kali yg aku pesan menu semua ada churros and waffle #like;positive
Tempat nyaman, cuma harusnya ada tisu nya biar gak bingung habis makan;positive
Minumannya enak;positive
bingung, masih pada muda, seperti terpelajar. tapi sama sekali tidak ramah. sya datang dgn sopan menanyakan pw wifi, disuruh tunggu smpai 3 kali bertanya. sekali jawab. ngegas dan bilang wifi penuh. yaa kalo pasang wifi gratis, jgn cuman 1 atau 2. jg;negative
Enjoy simple drink and meal;positive
keren sii;positive
Lokasi nyaman, tmpat duduk luas. Bnyk pilihan menu minuman makanan. Rasa lumayan enak. Harga dibawah 20k. Tempat sangat cocok untuk nongkrong dan cerita2 bersama keluarga ataupun teman;positive
Main course Beff Bulgogi nya enak,,buat nunggu sambil mobil dicuci memang cocok,,, Tapi SANGAT disayangkan Nyuci Mobil Antrian Ke 5 nunggunya sampe 3,5 jam... Tolong kecepatan Carwash nya lebih d perhatikan, boleh lah tenaga Kerjanya di tambah😪😪 …;negative
Tmpt nya enak. Kids friendly, parkiran luas , staf nya ramah , pesen spagetti  spicy beef .. isian beef dan smokeed beef nya banyak . Worth it dgn harga 45k . Well done;positive
Tempat sih okee tapi layanan di tingkatin dong...perasaan nda terlalu rame pesenan juga ga ribet masak nunggu sampe 30 menit, udah gitu mbaknya jutek lagi;negative
Biasa aja utk menu makan dan minum nya..Klo tempat nya lumayan aja.;neutral
cakep ya barista nya😃 …;neutral
Enaaak makanannya. Pecelnya cocok. Kuenya jugaaa happy. Hanya tempat duduk di bakery nya ada yang agak rapuh. Selebihnya menyenangkan dan baik sekali;positive
Enak kopinya pas. Sesuai harga;positive
Snack2 nya enak... Minumannya juga enak banget...tempatnya nyantai...;positive
Abangnya ganteng ganteng!;neutral
A cozy place for working with your laptop or just hang out with friends. The staffs are so good-natured so don't hesitate to ask anything with them if you need help. The food is super delicious (I love the Chicken Katsu!) and so affordable …;positive
Nyaman untuk nongkrong anak muda, tp krg recomended untuk kluarga atau anak2;neutral
Mienya lumayan enak. Untuk minuman yaa tergantung selera lah, lumayan enak jg kok. Tempatnya bagus tapi karena dekat banget dengan masjid, biasanya di jam² tertentu bakal kedengaran nyaring banget suara dari masjidnya.;neutral
Cafe yang menjadi salah satu rekomendasi;positive
"🔸 berada di tepi jalan kinibalu dan mudah ditemukan
🔸Sepertinya diminati kalangan muda karena termasuk cafe baru
🔸Ada konsep terbuka, indoor, private, area bermain anak dan bar …";neutral
"“Orang yang suka ngopi selalu tau FORE yang terbaik”.
“KOPI”Ketika Otak Perlu Inspirasi, kombinasikan dengan Butterscotch Sea Salt Latte”. …";positive
Kalau cari menu Western, disini pilihannya menu Western nya ok dan rasanya juga enak. Penyajian cepat. Tersedia aneka pilihan croisant dan Danish. Tempat nyaman, pelayanan cepat dan ramah.;positive
Saya kesini Ketika ada salah satu teman Saya mengundang untuk ke acara pernikahannya. Pemandangan disini sangat bagus apalagi ketika menjelang matahari terbenam.;positive
Tempatnya enak buat ngobrol, menu toastnya juga enak. Parkirannya luas, tapi pas kesana, musik di dalam ruangan terlalu keras.;neutral
Mengajarkan kepada anak mengopi sejak dini;neutral
So sad pertama kali kesini dapat bad impression. Dapat rekomendasi dari yang pernah kesini sebelumnya kalau jadi salah satu tempat bagus disini. Pertama pesen fine aja, mbak yang di kasir baik banget. Setelah beberapa lama pesenan minum …;negative
Penuh kopi sekut bgtnya enak;positive
"Beli es cappuccino disini sebagai teman perjalanan sekaligus beli beans
Tempat tampaknya cozy nyaman
Es cappuccino nya enak …";positive
"1. Tempatnya luas, ada lantai 1 dan 2
2. Menu minuman dan snack lumayan banyak, tapi pasti lebih baik lagi kalau ditambah pilihan menu snacknya …";positive
Makanan rumahan yang nikmat banget dan tempatnya juga nyaman. Rica-ricanya juara. Ada gado-gado ala Jawa juga yang kacangnya blenderan halus. Cukup ngobatin kangen gado-gado ala Jawa. Angslenya seger, juga sedia makanan/minuman ringan lain …;positive
enak;positive
"Tempatnya cozy dan terjangkau untuk nongkrong bareng temen"" 🤩 …";positive
Enak kopinya;positive
Bakmi nya uenak polll 👌👌 …;positive
