pool_idx;ulasan
273;"Ikan nila goreng blm masak dalam nya...
Alhamdulillah"
2635;Kopinya ok, tapi ruangan ber ac malah boleh merokok
2269;"Pengalaman yg tidak menyenangkan.
Pesan butterscotch dan og latte.
Pada menu tertera coffee dan non coffee …"
317;"Tepat waktu kopi, tempat yang enak buat bersantai. Lokasi nya sangat strategis.
Buat yang takut nanti ketinggalan ibadah sholat, tenang aja. Kedai ini sangat dekat dengan masjid, jadi kalau waktu sholat tiba kita akan tahu. Dan bisa melaksanakan sholat dengan segera.
Nongkrong di dunia dapet, ibadah tetap jalan."
1574;Pelayanan nya bad
1194;"Makanannya sukakkkk
Apalagi matchanya fav bgt bnr bnr asli matcha yang ga dibkin manis 😍
Tapi kalau udh jam 8an ke atas ga wort it buat ngerjakan tugas karna cafenya …"
1134;"Tempatnya lumayan, yg menurutku gak fair itu, gak ada harganya di menu.
Ini jadi nilai minus sekali.
Terkesan menutupi harga."
2317;"Untuk pelayanan kasir mungkin bisa ditingkatkan lebih ramah dan informatif. Salam senyum sapa untuk pelanggan.
Semoga lebih baik"
2497;"Pelayanannya sangat banyak kurangnya,
Kami sdh paling duluan memesan makanan tapi yg dilayani org yg baru datang, makanan kami 1 jam kebih ga datang"". …"
2344;Tempat nongkrong untuk remaja
1882;"Ada rambut di makanannya
Terus mba kasir dan mas kasirnya ketawa2 krna teman saya duduk di kursi dan kursinya patah, kita tau kita salah tapi ga seharusnya diketawain hehe ga sopan
Trims"
1306;Bagus, bisa nongkrong di roof top, minumannya kebanyakan kopi sih di menunya, belum ketemu jus gitu, makanan ringan ala kafe standard
1831;"Saya kasih 4 stars dl ya......bcoz....
Kalo untuk pelayanan dan kecepatan penyajian ok banget👍 but..........
Kita pesen mix plater isinya ayam, kentang dan sosis... tp kentangnya digigit …"
242;Tempatnya strategis untuk nongkrong sambil ngopi, sayangnya varian minumannya agak terbatas.,
628;"Tempatnya luas, makanannya enak
Suka sekut jellynya 🫶🏻
Cuma minus kalau duduk diluar agak panas aja …"
1634;Menunya masih tergolong lumayan mahal namun tempatnya lumayan keren
563;"Kurang suka dengan menu makanananya.
Suasana cukup bagus"
803;"Bukan untuk yang kelaperan dan buru-buru.
Nikmati kopinya... ngobrol bersama teman/keluarga sembari menunggu makanan disiapkan bisa mengurangi rasa bosen/lama menunggu makanan kita siap."
2089;Atas
426;"Tempat bertemakan jepang, space luas.
Varian menu cukup banyak, makanan berat juga banyak. Rasa Minuman & makanan standar. Kurang pas buat yg mau sambil kerja lama bawa laptop krn colokan susah."
2286;F&B affordable, pelayanan standar—cenderung lama, bagian indoor bersih.
780;Tempatnya enak full ac adem dan estetik tp sayang menu2 makannya krg cocok d aku tampilan bgus tp d lidah jauh dr ekspektasi 🙏🏼 …
1773;"Yth. Manajemen oregano coffe,
Sorry untuk bintang 3 nya ada beberapa poin yg harus di koreksi …"
1193;"Makanannya sukakkkk
Apalagi matchanya fav bgt bnr bnr asli matcha yang ga dibkin manis 😍
Tapi kalau udh jam 8an ke atas ga wort it buat ngerjakan tugas karna cafenya …"
2428;Tempat nongkrong
642;"Tempat nyaman, rasanya enak menunya bervariasi.
Tapi sistem pemesanan agak ribet, scan barcode hanya untuk lihat menu saja bukan sekalian pesan via link. Jadinya 2x antri buang2 waktu"
516;"Kopinya endulsss banget, tempatnya cozy juga buat nongkrong malem malem karna kalau siang puanassss pol
Oh iya kemarin sempat mesan dimsum mentai,tapi zonk banget karna di dalam dimsumnya masih ada jahe utuh yang lumayan gede jdi ngerusak rasa dimsumnya"
2298;"Vibes nya outdoor dan indoor...
Outdoornya enak kalau malam, bisa adem..kalau siang dikasih fan
Kopinya 👍 …"
1732;"Asli parah banget pelayanannya nunggu pesanan sampai satu jam.
Malah ada orang di belakang kami datang nya dpat duluan dari pada saya..
Pantas aja mulai sepi .. …"
1610;"tempat nya strategis karena deket dg kantor dan makanan nya termasuk worth it to buy untuk anak kuliahan
saran, untuk tempat nya di bikin lebih asri supaya lebih adem"
2319;"Sangat sangat Sangatttttttt Mengecewakan Pelayanan sangat Jelek.
pesanan sangat lama,nunggu hampir 2 jam baru dibikinkan padahal keadaan cafe tidak terlalu ramai.bahkan kasir tidak ada rasa bersalah atau meminta maaf sama …"
1303;"Suka Es Kopi Susu Taguk Ha nya . Harga bersahabat . Area cukup luas untuk tempat duduk banyak pilihan dengan tema yang berbeda-beda .
Selalu ramai tiap akhir pekan"
1392;"Makanan, minuman & suasananya enak.
Pegawainya agak pendiam tapi ga masalah sih …"
1615;"Makanannya lama sekali, sampai2 ada yg lgs ninggalin makanannya tp blg2 lagi
Hrsnya pemiliknya stand by apalagi msh awal pembukaann
Yg dtg msh review jd byk penilaian"
2261;Coffee nya enak agak creamy, sayang nya es batu lebih banyak daripada coffee. Cireng nya juga enak. Kemarin take away karena coffee shop nya ramai sekali di jam makan siang. Harga nya terjangkau. Pelayanan ramah.
487;"Cafe 24 jam yang lokasinya strategis.

Vibes malam sama siang jujur beda, kalau malam penuh kalau siang lebih enak buat …"
262;Kopinya enak tapi agak manis menurutku. Masih terasa kopi dibanding manisnya. Makanannya lumayan. Tempatnya enak,
112;"Nyuci mobil sambil nongki di G. Obos
Mantuullll"
1843;"Adminnya slow respon.
Makanan banyak kosong dan sedikit menunya.
Makanannya sudah pesan tp datang terlambat. …"
834;"Beverage : the coffee is too sweet
Snack : you should add the variety of your snack
Place : the AC system doesn't cool down the air and I hope you can  fix that please."
1125;Banyak dessertnya di sini dan enak-enak! Suasana jg enak tenang ga begitu ramai, harga standar, area indoornya ga begitu luas sayangnya.
2549;"Caffe latte nya mantab... Hazelnut latte nya juara...
Singkong gorengnya jooosss"
1489;"Perlu dibanyakin terkait ready menu di cafenya mas... krn snack hanya ready kebab aza tadi. Yahh ...khann
Pdhl ini jadwal malam mingguan...syg bangett"
2406;"saya beli risol 1 porsi pelit bgt
masa 1 kotak 1 porsi, isinya 1 biji.
ga worth it."
1270;"TAGUK HA SEKARANG BEDA DENGAN TAGUK HA YANG DULU.
NUNGGU PESANAN NASI GORENG TAGUK HA DAN KOPI HITAM MANIS BEGITU LAMA.
DULU ORDERAN GOJEK CEPAT SELESAI SEKARANG BEGITU LAMA. …"
1614;"Makanannya lama sekali, sampai2 ada yg lgs ninggalin makanannya tp blg2 lagi
Hrsnya pemiliknya stand by apalagi msh awal pembukaann
Yg dtg msh review jd byk penilaian"
566;"Ayam wokunya enak, bumbunya berasa, wangii.
Banana roll nya juga enak, tapi sayang gahabis makannya waktu itu karna ada rambut dalam pisangnya😭 padahal masih mau makan, sayang juga ga sempat komplain langsung …"
215;"Kasir sangat lama. Butuh 2 kasir buat mengantisipasi antrian.
Untuk minuman? So so lah untuk harga segitu. Dibilang enak yaa engga, dibilang gaenak juga engga.
Untuk tempat, sangat cocok buat nongkronh sama teman."
2491;"Makanan datang sangat lamaa.
datang tidak sesuai antrian.
sudah menunggu 1 jam setengah tetapi belum datang malah pesanan teman saya yang …"
977;"Tempatnya cozy
Luas, kamar mandi bersih,prokes
Kopinya enak harga standar …"
966;"Sangat kecewa dengan pelayanannya...
Saya dan keluarga menunggu pesanan makanan hampir 40 menitan menunggu... setelah saya Cek ke cashier dan cashier nya menuju ke dapur alangkah terkejutnya …"
2410;"kesini pasti datang untuk ketemu teman
Nyaman tempatnya untuk ngobrol sama teman-teman
Meskipun disini susah untuk parkiran nya
Menu lengkap, pelayanan cepat, orang-orang nya ramah."
1584;So sad pertama kali kesini dapat bad impression. Dapat rekomendasi dari yang pernah kesini sebelumnya kalau jadi salah satu tempat bagus disini. Pertama pesen fine aja
1348;"Makanan enak2
Cuman agak pricey yaaa"
1479;"Seru, asik untuk ngerjain tugas. Minuman greenteanya enak untuk yang gak suka kopi. Lain kali pengen coba pesan Caramel Latte, sama Pasta, juga Kebab.
Ini tampilan di depan jalan masuknya."
733;Tempatnya nyaman dan bersih, untuk lantainya kalau bisa dikeramik
1106;"Suasananya oke ada smoking room nya juga
Untuk harga si lumayan pricey kalo untuk anak kuliahan"
647;"Kami datang jam 09.00 belum buka.
Padahal di jadwalnya jam 09.00 cabang hq atau cut nyak dien sudah buka
Menunggu hingga 09.10 masih blm buka. …"
68;Tempat nongkrong + ngopi
224;"Sangat pas untuk Nongki, tapi terlalu ramai sehingga untuk privasi agak kurang.
Kalau mau privasi room harus jd membee dulu."
2591;"Lokasinya strategis, depan hotel Loca.
Tempatnya enak, AC dingin, dan bersih.
Kopinya enak 👍🏻 …"
