ulasan;label
Pelayanan memuaskan .. makanan n minumanya recommend..;positive
Pelayanan Buruk!;negative
Ulasan ini jujur sy buat berdasarkan pengalaman saya, Selasa malam tgl 17 des kmren saya melakukan reservasi ke nomor yg tertera di ig anggrek coffee, sy memesan meja utk 8 org indoor untuk tgl 18 des jam 5 sore, keesokan harinya di tgl 18 …;neutral
Satenya asin banget;negative
Biasa aja;neutral
Kopi 20+, Makanan d bawah 50,;neutral
Aku sama teman-teman ku duduk di dekat kasir yg bagian pinggir, jujur bau saluran pembuangan nya ganggu banget. Semoga pihak manajemen lebih memperhatikan lagi. Untuk affogato nya enak, kmren ice cream nya coklat krna vanilla nya habis/kosong rasanya;negative
Barusan pesan makanannya lewat gojek, pesan menu sweet and sour chiken, untuk nasinya tolong di perhatikan lagi ya ka, soalnya kaya masih mentah dikit, untuk ayamnya enak, bumbunya enak, cuma paling di banyakin aja lagi bumbunya karena , …;neutral
Kurang penjelasan menu paket puasa. Dimenu banyak pas datang cuman 1 menu;negative
Gk sempat foto kopinya, tapi americanonya lumayan;neutral
Dibelakang tamannya nya lebih terang, adem banyak kipas sama colokan 👌👌👌 …;positive
Hampir sejam baru selesai. Pesan manuka americano, jadinya americano biasa. Hadeh;negative
Memuaskan;positive
Makanan minumannya gaada masalah enak enak aja, tapi tolong dievaluasi pelayanannya. Saya liat ada review serupa di bawah sekian bulan yg lalu tapi masih aja pelayanannya kurang mengenakan. Inputnya lambat, sambil ngobrol dan sibuk sendiri, …;negative
Saya pesan saikoro blackpepper dagingnya gak matang, tolong sebelum makanan disajikan ke konsumen itu dicoba dulu rasanya gimana, dagingnya sudah matang apa belum. Ini yang bisa dimakan cuma nasinya, daging nya masih mentah. Sudah nunggu …;negative
Kalo mau nyari Roti Gandum, di resto ini mereka menjual Roti Gandum yg enak dan harga terjangkau;positive
Mienya lumayan enak. Untuk minuman yaa tergantung selera lah, lumayan enak jg kok. Tempatnya bagus tapi karena dekat banget dengan masjid, biasanya di jam² tertentu bakal kedengaran nyaring banget suara dari masjidnya.;positive
Orderan suka telat atau bahkan kayanya kelupaan karna lamaaaa bgt dtgnya pas ditanyain ulang bru dtg. Menu makanan masih kurang variatif, tp minumannya enak kok. Tempatnya cozy, ada live music tiap malem minggu. Kalo mau kesini malem minggu harus dat;negative
Lama ga makan dsini, waktu br pertama buka mpe skrg bnyk perubahan ke arah yg baik, variasi menu makanan n minuman layak dcoba gasss...;positive
Servicenya diperbaiki lagi ke depannya;negative
Cocok untuk nongki, cuman kalo hujan agak repot karena blm tersedia payung.;neutral
pelayanan lama, sudah pesan hampir satu jam ga dateng dateng, dua kali bilang ke kasir katanya sebentar lagi, ternyata katanya gatau kalo blm di antar;negative
Kopi susu gula arennya enakkk 😊😊 …;positive
Main course Beff Bulgogi nya enak,,buat nunggu sambil mobil dicuci memang cocok,,, Tapi SANGAT disayangkan Nyuci Mobil Antrian Ke 5 nunggunya sampe 3,5 jam... Tolong kecepatan Carwash nya lebih d perhatikan, boleh lah tenaga Kerjanya di tambah😪😪 …;negative
Lama ga makan dsini, waktu br pertama buka mpe skrg bnyk perubahan ke arah yg baik, variasi menu makanan n minuman layak dcoba gasss...;positive
Tempatnya rame, banyak cewe cantik, kadang ketemu temen lama, asique gitu tempatnya;positive
Tempat minum, berkumpul, ngobrol, & bertemu.;positive
Pesan makanan sama roti, makanan udh habis roti belum datang;negative
Lumayan sering nongki disni, dekat dengan sekolah anak. makanan dan minuman lumayan enak, harga bersahabat;positive
Nganter makanan nya ga ikhlas muka nya cemberut. Nganter minum langsung dari tangan tanpa nampan;negative
cakep ya barista nya😃 …;neutral
Greentea nya cucoookk...;positive
