pool_idx;ulasan
0;#JanganJera
1;10/10 👍 …
2;A cozy place for working with your laptop or just hang out with friends. The staffs are so good-natured so don't hesitate to ask anything with them if you need help. The food is super delicious (I love the Chicken Katsu!) and so affordable …
3;"""antar anak nemuin cs nya... anak muda banget ni tempat jadi sendirian om omnya 😁😁. rame bingit"
4;"#nasasampit …"""
5;Asyik tempat dan suasana nya keren dan Instagrameble 😍😀 pokoknya puas aja.....👌 Rekom buat nongki rame2,  couple atau srndirian …
6;Average, but their cireng taste good
7;Baguss
8;"""Buat ngumpul-ngumpul oke, buat santai oke, harga oke, yang pasti Oke-oke lah."
9;"Kalian harus coba, kalo udah cocok #janganjera kesana lagi."""
10;Caramel lattenya fav enak, the green tea is cheap tho, the employees are friendly too
11;Cucok tempatnya, pas didompet
12;Dari segi tempat sangat menarik bisa outdoor dan indoor nyaman serta tersedia tempat yg bisa di reservasi 👍, di dalam sejuk lengkap dengan hiasan yg unik dan di sertai tv nicee harga terjangkau 👍👍✨ …
13;Enak banget buat nongkrong orang tua dan muda, sangat cozy
14;Enak banget dan Santuy
15;Enak dan harga sesuai kantong
16;Enak sekali
17;enak tempatnya, makanan juga enak
18;Enak untuk bersantai
19;"""Good place to hang out with family and friends."
20;They have Indoor and Outdoor Place.
21;"Plenty of parking lot here"""
22;I love this place
23;It’s so hard to find a good single origin coffee in Palangkaraya, fortunately found this coffeeshop. I didn’t know what kind of beans they use, i only requested the most sour one.
24;"""Kopinya yaàaaa....lumayanlah"
25;"Tempatnya jg lumayan"""
26;Lokasi nyaman, tmpat duduk luas. Bnyk pilihan menu minuman makanan. Rasa lumayan enak. Harga dibawah 20k. Tempat sangat cocok untuk nongkrong dan cerita2 bersama keluarga ataupun teman
27;"""makanan enak , tmptnya bersih dan luas"
28;"sayang klo siang panas bgt dsitu kecuali d ruangan berACnya"""
29;Mantap 👍👍👍👍 …
30;Mantapps
31;Menu2 nya enak dan tempat yg cozyy
32;Minuman coffee dan non coffee disini rasanya enak, harganya terjangkau juga tempatnya sangat cocok untuk sekedar bersantai dan mengobrol dengan teman-teman sambil menikmati pemandangan kolam ikan.
33;Minuman dan makanannya enak, harga sesuai, tempat cozy
34;Murah dan enak
35;nice place & delicious
36;Nongkrong di tepian jalan raya, beratap tenda yg disusun cantik.. enak banget jdi tempat nongkrong, muda tua berkumpul, kopinya enak
37;Paline enak banget
38;Pelayanan baik, suasana asyik,malam minggu ada live music nya
39;"""Pineapple punch nya segar.."
40;"Cireng nya enak"""
41;porsi makanannya lmyan banyak dengan harga standar, pelayannya ramah, suasana nyaman,
42;"""Prose's pembuatan mkanan begitu lama,"
43;"Layanan biasa aja. …"""
44;"""ramai, tempatnya estetik , makanannya enak mungkin tambah menu lagi aja. cocok untuk nongki barang teman teman dan seru bareng. moga makin maju n mantap"
45;"@hermonkh"""
46;Recommended nih tempat untuk nongki-nongki
47;"""Sangat Recommend untuk bersantai, pelayanan memuaskan 🔥🔥"
48;"Harga mahasiswa ☑️ …"""
49;Santuy dan Nyaman ya disini, menu makanan dan minuman nya enak, yang penting Satu hal, Cafe ini sudah melaksanakan Protokol Kesehatan dengan baik, sesuai dengan Rekomendasi Satgas Covid-19 Kota Palangkaraya
50;Saya pernah makan di sini. makanannya enak², tempatnya juga bagus banget, walaupun tidak terlalu luas.
51;"""Saya suka, masakan nya tersaji baik ,"
52;"Saat itu saya hopeless dgn pilihan kakak saya untuk buka puasa bareng di cafe 😂 tp ternyata menu nya enak dan mengenyangkan. …"""
