ulasan;label;pool_idx
Satenya asin banget, leci tea hambar, harga gak sesuai sma omongan di awal;negative;82
Kopi 20+, Makanan d bawah 50,;neutral;85
Hampir sejam baru selesai. Pesan manuka americano, jadinya americano biasa. Hadeh;negative;152
Barusan pesan makanannya lewat gojek, pesan menu sweet and sour chiken, untuk nasinya tolong di perhatikan lagi ya ka, soalnya kaya masih mentah dikit, untuk ayamnya enak, bumbunya enak, cuma paling di banyakin aja lagi bumbunya karena , …;negative;64
Ulasan ini jujur sy buat berdasarkan pengalaman saya, Selasa malam tgl 17 des kmren saya melakukan reservasi ke nomor yg tertera di ig anggrek coffee, sy memesan meja utk 8 org indoor untuk tgl 18 des jam 5 sore, keesokan harinya di tgl 18 …;neutral;174
Minus pelayanan orderan online;negative;169
Rabu 11 september barista shif pagi perempuan rambut panjang. Emang barista fore di palangka nih ada aja gebrakannya ya. Selalu tidak konsisten rasanya, barista lama bgt bkn kopi nya dan terakhir jutek bgt nih barista cewe ini🌛 agak lain dibanding fo;negative;133
Untuk komfirmasi orderan online terlalu lama menunggu🙏🏻 …;negative;58
Gk sempat foto kopinya, tapi americanonya lumayan;neutral;359
Aku sama teman-teman ku duduk di dekat kasir yg bagian pinggir, jujur bau saluran pembuangan nya ganggu banget. Semoga pihak manajemen lebih memperhatikan lagi. Untuk affogato nya enak, kmren ice cream nya coklat krna vanilla nya habis/kosong rasanya;neutral;161
Lama, lelet, gaguna, kalo bln siap delivery online jangan soksokan buka online, nyusahin tau ga sih?!?;negative;326
Makanan minumannya gaada masalah enak enak aja, tapi tolong dievaluasi pelayanannya. Saya liat ada review serupa di bawah sekian bulan yg lalu tapi masih aja pelayanannya kurang mengenakan. Inputnya lambat, sambil ngobrol dan sibuk sendiri, …;negative;210
Saya pesan saikoro blackpepper dagingnya gak matang, tolong sebelum makanan disajikan ke konsumen itu dicoba dulu rasanya gimana, dagingnya sudah matang apa belum. Ini yang bisa dimakan cuma nasinya, daging nya masih mentah. Sudah nunggu …;negative;285
pelayanan lama, sudah pesan hampir satu jam ga dateng dateng, dua kali bilang ke kasir katanya sebentar lagi, ternyata katanya gatau kalo blm di antar;negative;231
Lokasi strategis pinggir jalan besar, tempat duduknya banyak, untuk yg narsis banyak spot untuk foto-foto;positive;307
Cocok untuk nongki, cuman kalo hujan agak repot karena blm tersedia payung.;neutral;392
ey buan k mau liat stiker lah -momon;neutral;242
Kurang penjelasan menu paket puasa. Dimenu banyak pas datang cuman 1 menu;negative;309
Pelayanannya baik sekali, terutama yg pegawainya freelance dan dia ganteng bngt;positive;95
Mienya lumayan enak. Untuk minuman yaa tergantung selera lah, lumayan enak jg kok. Tempatnya bagus tapi karena dekat banget dengan masjid, biasanya di jam² tertentu bakal kedengaran nyaring banget suara dari masjidnya.;neutral;32
Memuaskan;positive;184
Pesan makanan sama roti, makanan udh habis roti belum datang;negative;251
Kalo mau nyari Roti Gandum, di resto ini mereka menjual Roti Gandum yg enak dan harga terjangkau;positive;348
Main course Beff Bulgogi nya enak,,buat nunggu sambil mobil dicuci memang cocok,,, Tapi SANGAT disayangkan Nyuci Mobil Antrian Ke 5 nunggunya sampe 3,5 jam... Tolong kecepatan Carwash nya lebih d perhatikan, boleh lah tenaga Kerjanya di tambah😪😪 …;negative;21
Lama ga makan dsini, waktu br pertama buka mpe skrg bnyk perubahan ke arah yg baik, variasi menu makanan n minuman layak dcoba gasss...;positive;271
Tempatnya rame, banyak cewe cantik, kadang ketemu temen lama, asique gitu tempatnya;positive;284
Greentea nya cucoookk...;positive;151
Pesanan 1 jam lebih baru datang, sebenarnya mau cancel aja pesanannya. pelayanan buruk;negative;277
Luar biasa;positive;69
Pertama kali makan disini bebek rica nya enak, tempatnya juga enak buat sambil ngobrol dengan kerabat atau rekan kerja;positive;256
ini minuman green tea nya emg beda gini ya anatara takeaway sama dine in? rasa nya juga beda, mesen nya padahal cmn beda beberapa menit aja;negative;230
Ok lah;positive;233
kasir input sesuai pesanan, ramah, dan tetap sabar saat masih pilih menu;positive;361
Banyak promonya nih 😄 …;positive;56
lamaaaa bngettt nunggu makanan nya;negative;358
Butterscotch Sea salt latte nya memang juara ⭐️⭐️⭐️⭐️⭐️;positive;97
About Something Coffee adalah salah satu tempat kopi paling laris di Palangka Raya. Untuk harga ramah di kantong, pilihan kopi juga lumayan banyak. Setiap hari tidak pernah sepi, untuk orang yang menyukai kopi dan ketenangan di sini bukan …;positive;364
Lumayan sering nongki disni, dekat dengan sekolah anak. makanan dan minuman lumayan enak, harga bersahabat;positive;283
Tempat minum, berkumpul, ngobrol, & bertemu.;positive;188
Segah bilang kasih bintang 5;neutral;13
So sad pertama kali kesini dapat bad impression. Dapat rekomendasi dari yang pernah kesini sebelumnya kalau jadi salah satu tempat bagus disini. Pertama pesen fine aja, mbak yang di kasir baik banget. Setelah beberapa lama pesenan minum …;negative;40
sangat sangat enak difore ini;positive;191
bingung, masih pada muda, seperti terpelajar. tapi sama sekali tidak ramah. sya datang dgn sopan menanyakan pw wifi, disuruh tunggu smpai 3 kali bertanya. sekali jawab. ngegas dan bilang wifi penuh. yaa kalo pasang wifi gratis, jgn cuman 1 atau 2. jg;negative;17
Makanan disini enak minumannya juga dan di dalam ruangan tempatnya sangat sejuk;positive;203
Pelayanan nya GK ramah, toxic;negative;134
Nyaman untuk nongkrong anak muda, tp krg recomended untuk kluarga atau anak2;neutral;31
Pelayanan ramah, tempat nya bersih, fast respon ketika melayani, dan selalu jadi tempat favorite saya ke fore ketika ke palangkaraya, varian yang selalu saya pilih selalu buttercream tiramisu latte terbaikkkkk;positive;135
"Tempat bertemakan jepang, space luas.
Varian menu cukup banyak, makanan berat juga banyak. Rasa Minuman & makanan standar. Kurang pas buat yg mau sambil kerja lama bawa laptop krn colokan susah.";positive;340
Nyaman tempat nya, makanannya juga enak, paling seneng klo kesini makan aglio olio sma es lemojito 🤤🍝🍸perpaduan yg sempurna ✨ …;positive;103
murah, nyaman;positive;332
Maaf, layanan untuk kaka waiters perempuan yg berkaca mata kurang ramah dan tidak menjelaskan minuman yg di bawa. Terima kasih;negative;325
Lokasinya gampang dijangkau, parkiran lega, tempatnya nyaman dan makanan minumannya enak. Mixed platternya pemersatu keluarga banget. Kopinya sip, non kopinya juga lumayan lengkap. Tapi di manapun, anak2 hampir bisa dipastikan akan milih yg …;positive;297
a;neutral;7
tempatnyaaa estetik, makanan enakkk enakk apalagi matchaanyaa, sama miee gacornyaa enak bgt!!!!;positive;199
Tabu nian;neutral;163
Sekte;neutral;201
Goooddd;positive;360
👍👍👍 …;positive;369
Sip;positive;147
Lokasi strategis, kopinya nya enak makanan nya enak jugaaa 😍😍😍 …;positive;68
Menu Kurang enak. Pelayanan kurang, pesen sendiri bayar sendiri ambil sendiri, harusnya waiters menghampiri customer bukan pesan sendiri lalu bayar sendiri ambil pesanan sendiri di kasir. Tlong diperbaiki;negative;289
Tempat nya enak,  pelayanan nya ramah,  top banget,  pokok nya recomend.;positive;89
Pelayanan ramah banget, kopi enak jugaa, barista juga cakep cakep.;positive;270
Berkumpul bersama teman-teman Alumni SMP;neutral;65
Nyaman banget sih buat nongkrong sayang waktu kesini udh pada habis cemilannya karena datangnya juga kemaleman... Tapi best sih rasanya;positive;62
Makanan dan cemilannya enak tapi pelayanannya lumayan lama, untuk bagian penyajian minuman.;neutral;50
No musik,tenang cucok utk kerja,porsi makananny gede n hemat ada promo bundling everyday 1 maincourse n 1 minuman varian tea;positive;192
sangat memuaskan dan sangat keren🥰 …;positive;275
tempat nya sangat;neutral;121
"Asli parah banget pelayanannya nunggu pesanan sampai satu jam.
Malah ada orang di belakang kami datang nya dpat duluan dari pada saya..
Pantas aja mulai sepi .. …";negative;131
Orderan suka telat atau bahkan kayanya kelupaan karna lamaaaa bgt dtgnya pas ditanyain ulang bru dtg. Menu makanan masih kurang variatif, tp minumannya enak kok. Tempatnya cozy, ada live music tiap malem minggu. Kalo mau kesini malem minggu harus dat;negative;378
Dingin, roti dan minuman lengkap;positive;304
Tempatnya bagus sih, wifinya ga ada ya? Setidaknya kalau wifi ga ada, bisa kalii ditambah beberapa permainan misalnya kartu ToD atau uno;neutral;377
Menu banyak, rasa enak harga terjangkau. Tempat nyaman;positive;86
Rekomendasi;positive;185
suasana rame tapi nyaman, trus orderan nggak pake lama, dan rekomended untuk nongki bareng keluarga atau bestie..;positive;67
Jajanan dan makanan beratnya banyak, minumannya banyak, tempatnya luas, ada indoor dan outdoor, ada musala yang nyaman juga. Mantep pokoknya.;positive;380
Kalau cari menu Western, disini pilihannya menu Western nya ok dan rasanya juga enak. Penyajian cepat. Tersedia aneka pilihan croisant dan Danish. Tempat nyaman, pelayanan cepat dan ramah.;positive;36
Anak palangka wajib kesini si;positive;253
Dibelakang tamannya nya lebih terang, adem banyak kipas sama colokan 👌👌👌 …;positive;279
Iseng nyoba pesen makan, niatnya pesen katsu tapi kosong, ganti ke ayam bakar taliwangnya ternyata enak banget, porsinya juga bikin kenyang. Pelayanannya ramah, ruangannya nyaman enak buat sendiri maupun rame-rame. Lumayan harus sabar, …;positive;10
Tempat asyik, santai, dan enak. Harga stabil;positive;261
Selalu ramai;neutral;158
Kesini krna rekomen dri org2, ternyata emg bener seenak itu bakmie ny! 👍 …;positive;127
